A,B,C,D,E,F,G,H,I,J,K
29, -57147.2109375, -2850.65185546875, -2172.522216796875, 1201.227294921875, -17999.03125, -2354.7783203125, -447.3924560546875, -53980.26171875, , 1714826864620.472
30, -57150.36328125, -3035.72412109375, -2349.548095703125, 1167.5655517578125, -18007.14453125, -2627.96142578125, -571.2434692382812, -54019.48828125, , 1714826864624.101
31, -57170.2109375, -2526.238525390625, -1937.4266357421875, 1237.906494140625, -18028.06640625, -3799.416015625, -779.9193115234375, -54050.9375, , 1714826864628.258
0, -57168.1328125, -2248.093505859375, -1691.4010009765625, 1302.9500732421875, -18030.48046875, -3755.897216796875, -703.0740356445312, -54025.12109375, , 1714826864632.238
1, -57144.39453125, -2683.281982421875, -2043.44091796875, 1277.2679443359375, -18015.794921875, -2595.17138671875, -486.3515625, -54003.9296875, , 1714826864635.903
2, -57137.421875, -3051.683349609375, -2370.335205078125, 1209.27392578125, -18015.19140625, -2407.684814453125, -530.3397827148438, -54026.4609375, , 1714826864640.013
3, -57157.3359375, -2688.31103515625, -2078.84619140625, 1238.3758544921875, -18035.375, -3530.994140625, -768.1846923828125, -54061.0625, , 1714826864643.708
4, -57158.9453125, -2230.0556640625, -1693.7479248046875, 1343.9207763671875, -18026.859375, -3953.375, -780.9251708984375, -54042.62109375, , 1714826864647.813
5, -57137.7578125, -2502.0986328125, -1907.452880859375, 1321.5914306640625, -18005.267578125, -2915.158935546875, -556.6925048828125, -53996.82421875, , 1714826864651.545
6, -57124.75, -2995.424072265625, -2335.6005859375, 1243.1368408203125, -17996.34765625, -2290.13720703125, -500.6343078613281, -53998.23046875, , 1714826864655.276
7, -57138.96484375, -2844.080322265625, -2205.58056640625, 1199.48388671875, -18014.05078125, -3180.295166015625, -711.0535888671875, -54033.50390625, , 1714826864659.358
8, -57153.3125, -2302.609375, -1746.252197265625, 1284.979248046875, -18024.17578125, -3998.23486328125, -812.0387573242188, -54031.22265625, , 1714826864663.436
9, -57137.01953125, -2360.008544921875, -1784.9429931640625, 1342.646728515625, -18002.71875, -3240.84619140625, -612.7506713867188, -53992.3984375, , 1714826864667.077
10, -57121.93359375, -2914.890625, -2256.14013671875, 1241.3262939453125, -17987.162109375, -2283.096435546875, -480.0483703613281, -53980.05859375, , 1714826864671.168
11, -57138.6953125, -2960.55517578125, -2314.0087890625, 1185, -17996.548828125, -2852.797607421875, -652.313232421875, -54022.37109375, , 1714826864674.71
12, -57158.0078125, -2381.935791015625, -1845.2257080078125, 1295.1046142578125, -18005.46875, -3936.87939453125, -819.1466064453125, -54044.6328125, , 1714826864678.793
13, -57148.015625, -2255.53662109375, -1709.908203125, 1328.4310302734375, -17997.0859375, -3545.813232421875, -670.4181518554688, -54004.87109375, , 1714826864682.901
14, -57123.9453125, -2770.65478515625, -2147.77880859375, 1279.9501953125, -17971.203125, -2430.416748046875, -486.7538757324219, -53974.8984375, , 1714826864686.532
15, -57122.87109375, -3013.8642578125, -2374.425537109375, 1227.0435791015625, -17969.458984375, -2588.130615234375, -598.8702392578125, -53999.171875, , 1714826864690.673
16, -57143.1875, -2549.238525390625, -1968.27197265625, 1241.46044921875, -17992.32421875, -3730.013916015625, -802.3157958984375, -54033.50390625, , 1714826864694.345
17, -57142.5859375, -2246.75244140625, -1669.0045166015625, 1243.1368408203125, -17990.849609375, -3768.704833984375, -727.8174438476562, -54007.21875, , 1714826864698.302
18, -57124.28125, -2643.384033203125, -2008.37109375, 1222.9532470703125, -17972.677734375, -2654.91748046875, -519.2756958007812, -53973.15234375, , 1714826864702.39
19, -57115.5625, -3037.668701171875, -2374.5595703125, 1175.0086669921875, -17971.3359375, -2361.953369140625, -541.873291015625, -53982.94140625, , 1714826864706.087
20, -57133.80078125, -2734.243896484375, -2120.0849609375, 1185.4693603515625, -17994.73828125, -3426.11962890625, -762.2838134765625, -54019.5546875, , 1714826864710.164
21, -57142.51953125, -2257.481201171875, -1706.82373046875, 1268.953125, -18002.986328125, -3957.599365234375, -795.6773071289062, -54018.75, , 1714826864713.826
22, -57125.28515625, -2478.495361328125, -1885.2576904296875, 1281.3582763671875, -17982.736328125, -3010.310302734375, -582.7098999023438, -53976.70703125, , 1714826864717.939
23, -57110.6015625, -3001.995361328125, -2333.857177734375, 1209.6092529296875, -17974.755859375, -2294.89794921875, -505.3952331542969, -53966.78125, , 1714826864721.578
24, -57122.40234375, -2882.570068359375, -2259.291748046875, 1228.6529541015625, -17981.462890625, -3132.954345703125, -709.2431030273438, -53999.640625, , 1714826864725.705
25, -57137.69140625, -2327.62109375, -1770.0567626953125, 1288.1978759765625, -17996.080078125, -4007.756591796875, -808.9542236328125, -54002.58984375, , 1714826864729.803
26, -57125.75390625, -2347.335205078125, -1773.141357421875, 1323.6031494140625, -17981.39453125, -3352.35888671875, -629.5814819335938, -53965.2421875, , 1714826864733.455
27, -57110.265625, -2904.564208984375, -2254.799072265625, 1272.1717529296875, -17968.521484375, -2357.46044921875, -494.6664123535156, -53954.109375, , 1714826864737.55
28, -57125.41796875, -3020.569580078125, -2342.50732421875, 1183.1224365234375, -17996.21484375, -2785.205810546875, -635.7506103515625, -53997.6953125, , 1714826864741.352
29, -57148.015625, -2474.94140625, -1882.240234375, 1251.116455078125, -18020.220703125, -3898.1884765625, -815.8609008789062, -54032.16015625, , 1714826864745.439
30, -57141.84765625, -2275.11669921875, -1711.3834228515625, 1325.21240234375, -18009.4921875, -3651.961669921875, -702.6716918945312, -54001.71875, , 1714826864749.062
31, -57123.7421875, -2766.162109375, -2121.22509765625, 1257.6207275390625, -17988.90625, -2507.3291015625, -499.1590881347656, -53974.29296875, , 1714826864753.167
0, -57125.28515625, -3050.878662109375, -2372.07861328125, 1183.390625, -17991.587890625, -2517.99072265625, -568.9635620117188, -53995.953125, , 1714826864757.007
1, -57147.61328125, -2609.118896484375, -2006.158203125, 1234.822021484375, -18012.173828125, -3663.159912109375, -787.3624267578125, -54026.1953125, , 1714826864760.708
2, -57153.1796875, -2236.42578125, -1676.782958984375, 1302.4136962890625, -18014.7890625, -3856.6142578125, -752.0243530273438, -54006.01171875, , 1714826864764.933
3, -57131.85546875, -2597.719482421875, -1961.432373046875, 1261.3758544921875, -17995.9453125, -2742.89404296875, -527.4564208984375, -53968.7265625, , 1714826864768.54
4, -57120.0546875, -3036.52880859375, -2350.956298828125, 1202.5013427734375, -17987.36328125, -2322.12255859375, -520.4155883789062, -53975.3671875, , 1714826864772.718
5, -57136.68359375, -2769.380859375, -2152.00341796875, 1234.7548828125, -18005.736328125, -3354.840087890625, -750.4150390625, -54000.84765625, , 1714826864776.432
6, -57148.28515625, -2254.93310546875, -1723.3863525390625, 1325.41357421875, -18010.900390625, -3996.491455078125, -804.2603759765625, -53990.51953125, , 1714826864780.562
7, -57144.39453125, -2423.979248046875, -1856.1556396484375, 1312.270751953125, -17998.560546875, -3094.665771484375, -589.549560546875, -53952.30078125, , 1714826864784.187
8, -57132.4609375, -2958.677734375, -2330.30322265625, 1244.4779052734375, -17984.078125, -2300.463623046875, -501.5730895996094, -53948.4765625, , 1714826864788.284
9, -57147.4140625, -2921.931396484375, -2292.685302734375, 1177.0203857421875, -18007.078125, -3008.700927734375, -681.34814453125, -53991.86328125, , 1714826864792.299
10, -57165.71875, -2338.551025390625, -1805.3948974609375, 1274.3175048828125, -18020.5546875, -3982.879150390625, -814.3857421875, -54007.55078125, , 1714826864795.998
11, -57150.765625, -2274.31201171875, -1763.0159912109375, 1341.2386474609375, -17994.203125, -3444.090576171875, -656.7388916015625, -53966.984375, , 1714826864800.024
12, -57132.59375, -2830.199951171875, -2223.014892578125, 1250.110595703125, -17973.75, -2367.451904296875, -487.8938293457031, -53943.046875, , 1714826864803.652
13, -57141.78125, -2984.628173828125, -2358.3994140625, 1197.67333984375, -17982.6015625, -2705.074951171875, -616.3045654296875, -53970.94140625, , 1714826864807.754
14, -57161.62890625, -2454.154296875, -1918.047607421875, 1272.7081298828125, -18005.19921875, -3859.69873046875, -810.228271484375, -53994.34375, , 1714826864811.863
15, -57164.17578125, -2232.33544921875, -1689.5234375, 1302.4136962890625, -18005.87109375, -3702.253173828125, -704.8174438476562, -53972.34765625, , 1714826864815.538
16, -57147.546875, -2693.340087890625, -2067.916015625, 1272.23876953125, -17990.044921875, -2548.16552734375, -489.63726806640625, -53940.96484375, , 1714826864819.62
17, -57147.68359375, -3037.266357421875, -2373.48681640625, 1204.8482666015625, -17995.208984375, -2451.673095703125, -546.567138671875, -53953.5078125, , 1714826864823.278
18, -57166.5234375, -2650.15673828125, -2044.1114501953125, 1238.5770263671875, -18013.111328125, -3573.775390625, -760.205078125, -53970.671875, , 1714826864827.381
19, -57164.84765625, -2226.97119140625, -1691.1328125, 1339.6292724609375, -18001.84765625, -3911.66650390625, -758.059326171875, -53944.65625, , 1714826864831.037
20, -57157.94140625, -2546.6904296875, -1944.735595703125, 1295.3057861328125, -17992.7265625, -2853.199951171875, -541.9403076171875, -53913.00390625, , 1714826864835.187
21, -57154.38671875, -3036.998291015625, -2348.07275390625, 1201.026123046875, -17985.3515625, -2294.29443359375, -502.17657470703125, -53918.3671875, , 1714826864838.819
22, -57170.8828125, -2811.9609375, -2179.09375, 1231.9385986328125, -17998.560546875, -3247.41748046875, -713.8699340820312, -53964.97265625, , 1714826864842.922
23, -57179.93359375, -2281.017578125, -1718.8936767578125, 1306.8392333984375, -18009.423828125, -3974.63134765625, -782.2662353515625, -53965.57421875, , 1714826864847.022
24, -57160.35546875, -2383.544921875, -1793.324951171875, 1337.8858642578125, -17983.7421875, -3157.09423828125, -579.4912719726562, -53912.1328125, , 1714826864850.664
25, -57139.30078125, -2920.925537109375, -2251.51318359375, 1281.3582763671875, -17964.564453125, -2251.4462890625, -456.37786865234375, -53885.2421875, , 1714826864854.786
26, -57151.97265625, -2922.40087890625, -2257.81640625, 1251.3175048828125, -17975.896484375, -2873.517578125, -626.7651977539062, -53910.5234375, , 1714826864858.53
27, -57173.96875, -2364.50146484375, -1781.79150390625, 1341.0374755859375, -17995.341796875, -3912.67236328125, -783.942626953125, -53923.59765625, , 1714826864862.617
28, -57164.78125, -2272.568603515625, -1693.9490966796875, 1394.2122802734375, -17982.802734375, -3480.769775390625, -645.0712890625, -53887.9921875, , 1714826864866.268
29, -57143.5234375, -2803.84716796875, -2134.367919921875, 1330.7109375, -17961.2109375, -2366.110595703125, -454.6344299316406, -53862.98046875, , 1714826864870.401
30, -57148.28515625, -3038.74169921875, -2320.51318359375, 1230.7315673828125, -17976.634765625, -2571.635009765625, -561.1851806640625, -53895.5703125, , 1714826864874.053
31, -57172.9609375, -2552.658203125, -1916.6395263671875, 1266.807373046875, -18002.3828125, -3734.104248046875, -773.750244140625, -53926.88671875, , 1714826864878.145
0, -57175.77734375, -2259.559814453125, -1661.092041015625, 1339.361083984375, -18000.37109375, -3729.142333984375, -705.7562255859375, -53910.58984375, , 1714826864881.996
1, -57161.09375, -2692.8037109375, -2003.67724609375, 1296.1104736328125, -17982.53515625, -2570.15966796875, -487.8267517089844, -53878.47265625, , 1714826864885.716
2, -57160.2890625, -3075.8232421875, -2352.69970703125, 1248.501220703125, -17977.103515625, -2361.08154296875, -534.02783203125, -53899.79296875, , 1714826864889.858
3, -57182.28125, -2744.033935546875, -2069.458251953125, 1245.617919921875, -17995.744140625, -3454.4169921875, -758.7969360351562, -53937.078125, , 1714826864893.924
4, -57188.18359375, -2285.64453125, -1672.5584716796875, 1322.261962890625, -17994.134765625, -3892.958251953125, -771.2021484375, -53923.1953125, , 1714826864897.698
5, -57165.921875, -2544.41064453125, -1867.085693359375, 1312.2037353515625, -17973.416015625, -2867.01318359375, -541.068603515625, -53876.05859375, , 1714826864901.366
6, -57152.91015625, -3056.71240234375, -2306.163330078125, 1236.4312744140625, -17963.55859375, -2223.685302734375, -485.01043701171875, -53873.30859375, , 1714826864905.556
7, -57174.03515625, -2920.523193359375, -2191.498779296875, 1197.740478515625, -17992.794921875, -3096.4091796875, -693.0157470703125, -53920.046875, , 1714826864909.192
8, -57184.4296875, -2367.719970703125, -1717.753662109375, 1278.0054931640625, -18002.451171875, -3923.133056640625, -790.1787719726562, -53935.3359375, , 1714826864913.26
9, -57168, -2415.396240234375, -1745.9168701171875, 1320.4515380859375, -17981.865234375, -3190.085205078125, -593.841064453125, -53894.8984375, , 1714826864917.298
10, -57149.55859375, -2963.57275390625, -2225.294677734375, 1233.614990234375, -17958.529296875, -2232.73779296875, -463.3515930175781, -53880.01171875, , 1714826864920.896
11, -57154.25390625, -3016.076904296875, -2293.556884765625, 1206.3905029296875, -17960.67578125, -2775.08056640625, -630.319091796875, -53906.5, , 1714826864924.989
12, -57172.76171875, -2467.43115234375, -1820.1470947265625, 1265.5333251953125, -17974.5546875, -3850.243896484375, -795.4090576171875, -53931.578125, , 1714826864928.635
13, -57164.578125, -2319.70849609375, -1669.6751708984375, 1307.7110595703125, -17965.369140625, -3503.3671875, -661.902099609375, -53895.4375, , 1714826864932.728
14, -57146.07421875, -2823.62841796875, -2093.732421875, 1266.94140625, -17940.9609375, -2370.201171875, -468.7160339355469, -53867.47265625, , 1714826864936.808
15, -57151.90625, -3075.085693359375, -2322.927001953125, 1217.4547119140625, -17949.4765625, -2478.42822265625, -561.855712890625, -53904.82421875, , 1714826864940.503
16, -57174.7734375, -2606.4365234375, -1938.8348388671875, 1270.7635498046875, -17975.76171875, -3636.337890625, -775.4266357421875, -53941.83984375, , 1714826864944.601
17, -57184.2265625, -2271.763916015625, -1648.3515625, 1333.3931884765625, -17978.310546875, -3759.115966796875, -732.8465576171875, -53930.4375, , 1714826864948.246
18, -57165.25, -2660.952392578125, -1971.89306640625, 1290.0084228515625, -17959.333984375, -2642.579345703125, -517.2640380859375, -53899.05859375, , 1714826864952.336
19, -57160.48828125, -3075.286865234375, -2346.061279296875, 1224.428466796875, -17952.830078125, -2303.145751953125, -528.1940307617188, -53913.20703125, , 1714826864956.041
20, -57178.2578125, -2765.826904296875, -2104.461181640625, 1259.1629638671875, -17969.32421875, -3352.895263671875, -748.4703979492188, -53950.7578125, , 1714826864960.125
21, -57185.703125, -2262.376220703125, -1669.138671875, 1334.80126953125, -17973.416015625, -3895.9755859375, -776.2312622070312, -53946.3984375, , 1714826864963.786
22, -57173.56640625, -2480.03759765625, -1837.112060546875, 1307.5098876953125, -17961.8828125, -2952.508544921875, -566.5496215820312, -53911.86328125, , 1714826864967.921
23, -57150.6328125, -2995.826416015625, -2299.32373046875, 1258.5595703125, -17942.771484375, -2227.8427734375, -493.593505859375, -53904.15234375, , 1714826864972.005
24, -57160.2890625, -2894.237548828125, -2229.720458984375, 1226.57421875, -17956.517578125, -3018.35693359375, -687.6513061523438, -53935.46875, , 1714826864975.671
25, -57171.8203125, -2330.370361328125, -1750.8790283203125, 1286.3204345703125, -17968.7890625, -3926.48583984375, -805.2661743164062, -53947.26953125, , 1714826864979.767
26, -57159.41796875, -2325.609375, -1741.0888671875, 1319.378662109375, -17952.830078125, -3294.490234375, -631.727294921875, -53910.92578125, , 1714826864983.404
27, -57143.9921875, -2875.260986328125, -2213.895263671875, 1258.8277587890625, -17940.08984375, -2272.90380859375, -484.7422180175781, -53892.08203125, , 1714826864987.529
28, -57154.9921875, -3003.202392578125, -2329.69970703125, 1197.67333984375, -17955.4453125, -2697.2294921875, -630.922607421875, -53922.79296875, , 1714826864991.2
29, -57176.91796875, -2462.402099609375, -1872.986572265625, 1269.2213134765625, -17975.427734375, -3809.876708984375, -805.132080078125, -53951.5625, , 1714826864995.296
30, -57172.55859375, -2261.973876953125, -1685.1649169921875, 1321.658447265625, -17965.63671875, -3580.5478515625, -688.791259765625, -53923.734375, , 1714826864998.999
31, -57149.76171875, -2722.375, -2098.62744140625, 1327.8946533203125, -17934.58984375, -2464.01123046875, -497.28155517578125, -53895.50390625, , 1714826865003.072
0, -57157.671875, -3045.71533203125, -2371.27392578125, 1225.6353759765625, -17943.84375, -2439.603271484375, -563.9344482421875, -53923.59765625, , 1714826865006.964
1, -57176.046875, -2617.16552734375, -2021.7821044921875, 1295.9093017578125, -17960.072265625, -3594.22705078125, -778.7123413085938, -53954.64453125, , 1714826865011.142
2, -57182.28125, -2246.282958984375, -1680.0687255859375, 1347.6759033203125, -17968.05078125, -3822.21484375, -748.2022094726562, -53936.33984375, , 1714826865014.798
3, -57168.671875, -2582.632080078125, -1954.9951171875, 1339.2269287109375, -17948.671875, -2741.28466796875, -531.6138305664062, -53900.734375, , 1714826865018.899
4, -57163.3046875, -3049.4033203125, -2343.37890625, 1254.5362548828125, -17945.72265625, -2273.30615234375, -510.7596435546875, -53904.82421875, , 1714826865022.546
5, -57178.05859375, -2807.1328125, -2152.673828125, 1280.2183837890625, -17962.41796875, -3292.143310546875, -737.071044921875, -53942.10546875, , 1714826865026.759
6, -57185.5, -2289.466552734375, -1701.5933837890625, 1367.6583251953125, -17968.3203125, -3964.23779296875, -799.0971069335938, -53944.05078125, , 1714826865030.453
7, -57164.04296875, -2431.891845703125, -1808.0771484375, 1376.7108154296875, -17941.900390625, -3095.2021484375, -590.890625, -53898.05078125, , 1714826865034.161
8, -57143.390625, -2998.84375, -2269.282958984375, 1254.804443359375, -17925.26953125, -2241.455078125, -487.55853271484375, -53878.3359375, , 1714826865038.257
9, -57156.6015625, -2951.033447265625, -2253.793212890625, 1254.0667724609375, -17939.3515625, -2954.654296875, -679.2694091796875, -53909.3828125, , 1714826865042.326
10, -57182.55078125, -2401.918212890625, -1767.3074951171875, 1277.8714599609375, -17968.85546875, -3915.28759765625, -808.6189575195312, -53928.42578125, , 1714826865045.92
11, -57178.7265625, -2361.48388671875, -1708.5001220703125, 1267.2767333984375, -17963.625, -3376.96826171875, -648.2228393554688, -53902.27734375, , 1714826865049.986
12, -57156.80078125, -2883.240478515625, -2174.869140625, 1233.413818359375, -17940.021484375, -2323.59765625, -493.9288024902344, -53881.890625, , 1714826865053.605
13, -57162.1640625, -3047.593017578125, -2328.49267578125, 1198.9473876953125, -17945.251953125, -2633.32568359375, -621.8031005859375, -53915.08203125, , 1714826865057.707
14, -57179.53125, -2531.938232421875, -1884.587158203125, 1253.46337890625, -17958.73046875, -3768.36962890625, -808.28369140625, -53932.78515625, , 1714826865061.805
15, -57183.22265625, -2296.2392578125, -1652.3748779296875, 1287.795654296875, -17955.98046875, -3662.42236328125, -714.2722778320312, -53904.421875, , 1714826865065.473
16, -57158.61328125, -2738.26708984375, -2037.204833984375, 1296.378662109375, -17924.8671875, -2548.36669921875, -521.2202758789062, -53866.6015625, , 1714826865069.595
17, -57152.10546875, -3080.91943359375, -2326.88330078125, 1221.813232421875, -17922.990234375, -2395.816162109375, -556.357177734375, -53874.91796875, , 1714826865073.233
18, -57169.80859375, -2712.7861328125, -1991.9425048828125, 1209.7432861328125, -17941.630859375, -3475.8076171875, -751.756103515625, -53905.828125, , 1714826865077.355
19, -57164.37890625, -2276.256591796875, -1623.3399658203125, 1324.20654296875, -17931.3046875, -3855.0048828125, -754.90771484375, -53890.40625, , 1714826865080.992
20, -57144.59765625, -2567.947021484375, -1855.9544677734375, 1322.060791015625, -17906.896484375, -2815.44775390625, -533.5584106445312, -53854.33203125, , 1714826865085.155
21, -57137.0859375, -3042.362548828125, -2282.694091796875, 1283.5040283203125, -17896.369140625, -2264.186767578125, -501.0366516113281, -53863.18359375, , 1714826865088.799
22, -57157.671875, -2858.63134765625, -2128.265869140625, 1246.0872802734375, -17918.4296875, -3177.07666015625, -707.9690551757812, -53900.80078125, , 1714826865092.9
23, -57165.3828125, -2309.382080078125, -1666.6575927734375, 1333.661376953125, -17926.611328125, -3943.45068359375, -794.135009765625, -53896.7109375, , 1714826865096.664
24, -57152.10546875, -2413.585693359375, -1734.5174560546875, 1337.550537109375, -17914.876953125, -3150.1875, -598.0655517578125, -53855.3359375, , 1714826865100.748
25, -57140.23828125, -2960.48828125, -2225.294677734375, 1281.2242431640625, -17908.908203125, -2273.976806640625, -495.3369445800781, -53848.49609375, , 1714826865104.397
26, -57159.8203125, -2993.010009765625, -2247.35595703125, 1205.0494384765625, -17928.95703125, -2862.855712890625, -660.2927856445312, -53889.53515625, , 1714826865108.524
27, -57180.94140625, -2435.04345703125, -1761.4737548828125, 1266.8743896484375, -17945.185546875, -3898.724853515625, -805.936767578125, -53915.8203125, , 1714826865112.625
28, -57174.90625, -2308.30908203125, -1660.1533203125, 1352.9732666015625, -17922.251953125, -3499.343994140625, -663.2432250976562, -53886.5859375, , 1714826865116.287
29, -57153.78515625, -2841.7333984375, -2109.490234375, 1288.6673583984375, -17906.560546875, -2386.361328125, -479.1766357421875, -53865.53125, , 1714826865120.396
30, -57152.10546875, -3054.49951171875, -2302.341064453125, 1229.85986328125, -17912.193359375, -2570.830322265625, -577.0772705078125, -53891.8828125, , 1714826865124.047
31, -57172.42578125, -2552.39013671875, -1888.5433349609375, 1283.03466796875, -17929.359375, -3722.436767578125, -774.0184936523438, -53915.21875, , 1714826865128.155
0, -57174.234375, -2247.35595703125, -1624.8822021484375, 1351.900390625, -17928.95703125, -3757.707763671875, -715.6133422851562, -53886.51953125, , 1714826865131.98
1, -57160.35546875, -2681.940673828125, -1985.37109375, 1316.02587890625, -17915.279296875, -2643.182861328125, -517.5993041992188, -53847.828125, , 1714826865135.692
2, -57157.47265625, -3079.645263671875, -2323.1953125, 1222.8861083984375, -17917.423828125, -2370.536376953125, -536.173583984375, -53860.6328125, , 1714826865139.808
3, -57171.15234375, -2723.246826171875, -2046.5255126953125, 1275.3233642578125, -17929.6953125, -3457.8369140625, -754.8406982421875, -53898.5859375, , 1714826865143.485
4, -57181.140625, -2268.478271484375, -1646.809326171875, 1339.2940673828125, -17940.693359375, -3936.409912109375, -778.5782470703125, -53896.91015625, , 1714826865147.597
5, -57165.453125, -2499.41650390625, -1836.5755615234375, 1357.8682861328125, -17926.611328125, -2964.57861328125, -565.4767456054688, -53863.25, , 1714826865151.309
6, -57158.8125, -3026.470458984375, -2267.8076171875, 1250.84814453125, -17922.990234375, -2267.271240234375, -492.2524108886719, -53863.1171875, , 1714826865155.336
7, -57177.72265625, -2891.48828125, -2181.038330078125, 1260.9735107421875, -17934.658203125, -3141.2021484375, -714.5404663085938, -53907.37109375, , 1714826865159.415
8, -57193.01171875, -2336.67333984375, -1708.6341552734375, 1347.0723876953125, -17946.52734375, -4002.3251953125, -818.3419799804688, -53917.69921875, , 1714826865163.028
9, -57183.625, -2390.317626953125, -1722.3134765625, 1353.7109375, -17931.103515625, -3288.1201171875, -626.9663696289062, -53885.51171875, , 1714826865167.079
10, -57165.71875, -2948.150146484375, -2202.495849609375, 1297.7197265625, -17914.7421875, -2312.533447265625, -495.40399169921875, -53873.0390625, , 1714826865171.135
11, -57175.375, -3030.35986328125, -2278.93896484375, 1239.1805419921875, -17931.572265625, -2801.097900390625, -650.9050903320312, -53906.6328125, , 1714826865174.747
12, -57194.6875, -2470.716796875, -1818.3365478515625, 1318.976318359375, -17949.54296875, -3904.29052734375, -826.7909545898438, -53923.33203125, , 1714826865178.809
13, -57182.1484375, -2307.90673828125, -1659.0804443359375, 1353.5767822265625, -17934.791015625, -3591.276611328125, -698.7154541015625, -53890.20703125, , 1714826865182.857
14, -57160.421875, -2824.3662109375, -2084.1435546875, 1286.8568115234375, -17913.1328125, -2453.483642578125, -509.35150146484375, -53861.171875, , 1714826865186.469
15, -57166.2578125, -3103.31591796875, -2334.5947265625, 1220.1368408203125, -17917.89453125, -2531.80419921875, -601.0159912109375, -53885.17578125, , 1714826865190.548
16, -57189.7265625, -2641.573486328125, -1958.07958984375, 1279.480712890625, -17937.541015625, -3689.17724609375, -811.5023193359375, -53917.8984375, , 1714826865194.618
17, -57191.671875, -2291.8134765625, -1652.03955078125, 1345.19482421875, -17932.4453125, -3843.270263671875, -770.3974609375, -53899.52734375, , 1714826865198.326
18, -57176.3828125, -2666.31689453125, -1962.7064208984375, 1319.5126953125, -17920.576171875, -2743.028076171875, -555.1502075195312, -53868.27734375, , 1714826865202.38
19, -57173.765625, -3110.356689453125, -2347.06689453125, 1228.3846435546875, -17918.296875, -2369.26220703125, -560.3134765625, -53879.609375, , 1714826865205.989
20, -57194.5546875, -2811.42431640625, -2103.9248046875, 1244.5450439453125, -17927.884765625, -3393.93310546875, -773.951416015625, -53909.18359375, , 1714826865210.062
21, -57199.44921875, -2298.451904296875, -1672.42431640625, 1329.2357177734375, -17933.986328125, -3987.23779296875, -820.822998046875, -53900.0625, , 1714826865214.167
22, -57181.0078125, -2494.454345703125, -1816.9954833984375, 1315.5565185546875, -17913.06640625, -3052.756103515625, -606.9168701171875, -53856.140625, , 1714826865217.775
23, -57171.21875, -3022.447265625, -2268.14306640625, 1233.6820068359375, -17895.630859375, -2265.460693359375, -517.8004760742188, -53839.578125, , 1714826865221.835
24, -57185.09765625, -2936.482421875, -2220.33251953125, 1226.6412353515625, -17907.232421875, -3036.864013671875, -715.9486694335938, -53877.66796875, , 1714826865225.932
25, -57200.05078125, -2365.9765625, -1749.40380859375, 1309.6556396484375, -17923.59375, -3985.1591796875, -847.9804077148438, -53884.70703125, , 1714826865229.639
26, -57190.12890625, -2351.760986328125, -1713.7303466796875, 1310.1920166015625, -17915.61328125, -3366.17236328125, -666.5960083007812, -53845.48046875, , 1714826865233.72
27, -57170.94921875, -2891.22021484375, -2181.77587890625, 1258.492431640625, -17899.7890625, -2330.839599609375, -514.5147705078125, -53829.05078125, , 1714826865237.53
28, -57182.08203125, -3012.8583984375, -2318.50146484375, 1258.0230712890625, -17910.048828125, -2743.229248046875, -669.010009765625, -53867.609375, , 1714826865241.44
29, -57203.00390625, -2469.64404296875, -1870.9078369140625, 1320.0491943359375, -17936.87109375, -3873.51220703125, -855.0882568359375, -53891.546875, , 1714826865245.083
30, -57200.72265625, -2254.597900390625, -1668.53515625, 1327.4923095703125, -17934.5234375, -3678.58251953125, -749.2750854492188, -53857.81640625, , 1714826865249.113
31, -57177.453125, -2719.223388671875, -2070.262939453125, 1281.0230712890625, -17907.03125, -2545.013916015625, -553.2726440429688, -53820.1328125, , 1714826865253.219
0, -57171.75390625, -3021.44140625, -2347, 1259.3641357421875, -17902.873046875, -2493.91796875, -611.1412963867188, -53829.1875, , 1714826865257.121
1, -57196.23046875, -2625.14501953125, -1999.1844482421875, 1273.5799560546875, -17931.908203125, -3608.778076171875, -812.9775390625, -53869.08203125, , 1714826865260.95
2, -57203.875, -2223.95361328125, -1659.3486328125, 1361.556396484375, -17936.736328125, -3896.31103515625, -794.6044311523438, -53856.87890625, , 1714826865264.685
3, -57184.83203125, -2555.206298828125, -1928.9776611328125, 1335.3377685546875, -17916.8203125, -2822.287353515625, -574.3950805664062, -53814.09765625, , 1714826865268.811
4, -57175.17578125, -3012.4560546875, -2335.466552734375, 1267.2767333984375, -17901.197265625, -2322.390625, -547.6400146484375, -53820.1328125, , 1714826865272.545
5, -57196.56640625, -2776.48876953125, -2162.59814453125, 1279.681884765625, -17921.380859375, -3299.58642578125, -769.1234130859375, -53864.25390625, , 1714826865276.313
6, -57210.04296875, -2240.91845703125, -1718.357177734375, 1369.80419921875, -17931.841796875, -4009.299072265625, -841.0736694335938, -53860.30078125, , 1714826865280.541
7, -57188.98828125, -2356.119384765625, -1814.916748046875, 1403.1976318359375, -17904.751953125, -3170.7734375, -632.4649047851562, -53817.31640625, , 1714826865284.262
8, -57171.62109375, -2904.832275390625, -2281.62109375, 1315.5565185546875, -17898.380859375, -2307.437255859375, -523.83544921875, -53809.26953125, , 1714826865288.34
9, -57188.31640625, -2890.61669921875, -2268.880615234375, 1258.5595703125, -17916.083984375, -2961.96337890625, -702.6716918945312, -53846.6875, , 1714826865292.007
