A,B,C,D,E,F,G,H,I,J,K
7, -56969.31640625, -2873.31640625, -2024.66552734375, 771.3362426757812, -18715.716796875, -1970.88720703125, -313.14788818359375, -55213.7421875, , 1714826857783.571
8, -56969.71875, -3157.7646484375, -2265.72900390625, 693.2169189453125, -18718.33203125, -1986.2427978515625, -385.50048828125, -55242.2421875, , 1714826857787.169
9, -56990.3046875, -2712.1826171875, -1899.1380615234375, 730.8348999023438, -18739.990234375, -3154.210693359375, -603.2288208007812, -55285.42578125, , 1714826857791.321
10, -56992.11328125, -2341.836669921875, -1581.6986083984375, 830.1436767578125, -18740.794921875, -3358.192626953125, -568.2930297851562, -55269.66796875, , 1714826857795.399
11, -56971.328125, -2716.8095703125, -1878.686279296875, 777.8406372070312, -18723.2265625, -2236.76123046875, -344.06036376953125, -55234.73046875, , 1714826857799.029
12, -56964.890625, -3170.37109375, -2280.749267578125, 681.0798950195312, -18717.728515625, -1838.85546875, -351.4364318847656, -55246.734375, , 1714826857803.067
13, -56989.1640625, -2903.759521484375, -2073.280517578125, 698.983642578125, -18738.58203125, -2888.336669921875, -576.40673828125, -55285.69140625, , 1714826857806.673
14, -57006.12890625, -2415.3291015625, -1643.1212158203125, 765.8377075195312, -18750.5859375, -3518.857177734375, -620.8643188476562, -55280.125, , 1714826857810.786
15, -56985.33984375, -2590.14208984375, -1790.8438720703125, 811.435302734375, -18724.30078125, -2631.381103515625, -414.937744140625, -55226.88671875, , 1714826857814.866
16, -56960.0625, -3131.27783203125, -2259.15771484375, 748.3363037109375, -18706.330078125, -1836.1732177734375, -325.4860534667969, -55204.82421875, , 1714826857818.522
17, -56965.4921875, -3072.269287109375, -2216.443359375, 719.8378295898438, -18725.91015625, -2600.13330078125, -519.4097900390625, -55244.921875, , 1714826857822.628
18, -56978.3671875, -2506.9267578125, -1752.2200927734375, 811.3682250976562, -18740.125, -3611.661376953125, -670.14990234375, -55257.26171875, , 1714826857826.296
19, -56968.578125, -2512.08984375, -1736.663330078125, 820.420654296875, -18725.306640625, -3055.90771484375, -517.9345703125, -55220.8515625, , 1714826857830.4
20, -56948.125, -3073.6103515625, -2228.379150390625, 771.0680541992188, -18703.646484375, -2028.353515625, -376.5821533203125, -55194.6328125, , 1714826857834.066
21, -56960.328125, -3242.187255859375, -2373.68798828125, 683.2257080078125, -18718.197265625, -2398.632568359375, -521.8908081054688, -55223.265625, , 1714826857838.211
22, -56982.92578125, -2736.3896484375, -1927.9718017578125, 693.9545288085938, -18740.05859375, -3540.515869140625, -708.1702270507812, -55245.52734375, , 1714826857841.839
23, -56974.74609375, -2512.358154296875, -1722.5146484375, 736.668701171875, -18728.525390625, -3395.74365234375, -603.4299926757812, -55212.40234375, , 1714826857845.938
24, -56946.11328125, -2994.217041015625, -2122.9013671875, 683.3598022460938, -18704.787109375, -2244.271240234375, -397.23516845703125, -55171.83203125, , 1714826857850.056
25, -56945.51171875, -3338.27734375, -2431.489501953125, 605.8439331054688, -18709.748046875, -2179.227783203125, -469.4536437988281, -55192.62109375, , 1714826857853.7
26, -56966.6328125, -2928.9052734375, -2109.42333984375, 653.4531860351562, -18737.64453125, -3350.4814453125, -698.1119384765625, -55229.296875, , 1714826857857.805
